TOP.5d5a6c11.0007e1b2	START
TOP.5d5a6c11.0007e1b2	user_options->rp_gen_func_max	4
TOP.5d5a6c11.0007e1b2	user_options->rp_gen_func_min	1
TOP.5d5a6c11.0007e1b2	user_options->rp_gen_seed	0
TOP.5d5a6c11.0007e1b2	user_options->runtime	0
TOP.5d5a6c11.0007e1b2	user_options->scrypt_tmto	0
TOP.5d5a6c11.0007e1b2	user_options->segment_size	33554432
TOP.5d5a6c11.0007e1b2	user_options->self_test_disable	0
TOP.5d5a6c11.0007e1b2	user_options->slow_candidates	0
TOP.5d5a6c11.0007e1b2	user_options->show	0
TOP.5d5a6c11.0007e1b2	user_options->speed_only	0
TOP.5d5a6c11.0007e1b2	user_options->spin_damp	8
TOP.5d5a6c11.0007e1b2	user_options->status	0
TOP.5d5a6c11.0007e1b2	user_options->status_timer	10
TOP.5d5a6c11.0007e1b2	user_options->stdout_flag	0
TOP.5d5a6c11.0007e1b2	user_options->usage	0
TOP.5d5a6c11.0007e1b2	user_options->username	0
TOP.5d5a6c11.0007e1b2	user_options->veracrypt_pim	0
TOP.5d5a6c11.0007e1b2	user_options->version	0
TOP.5d5a6c11.0007e1b2	user_options->workload_profile	2
TOP.5d5a6c11.0007e1b2	user_options->brain_client	0
TOP.5d5a6c11.0007e1b2	user_options->brain_client_features	2
TOP.5d5a6c11.0007e1b2	user_options->brain_server	0
TOP.5d5a6c11.0007e1b2	user_options->brain_port	6863
TOP.5d5a6c11.0007e1b2	user_options->brain_session	0
TOP.5d5a6c11.0007e1b2	proc_start	1566206993
TOP.5d5a6c11.0007e1b2	proc_stop	1566206993
TOP.5d5a6c11.0007e1b2	STOP
TOP.5d5b50bf.00057133	START
TOP.5d5b50bf.00057133	user_options->separator	:
TOP.5d5b50bf.00057133	user_options->encoding_from	utf-8
TOP.5d5b50bf.00057133	user_options->encoding_to	utf-8
TOP.5d5b50bf.00057133	user_options->rule_buf_l	:
TOP.5d5b50bf.00057133	user_options->rule_buf_r	:
TOP.5d5b50bf.00057133	user_options->session	hashcat
TOP.5d5b50bf.00057133	user_options->limit	0
TOP.5d5b50bf.00057133	user_options->skip	0
TOP.5d5b50bf.00057133	user_options->attack_mode	0
TOP.5d5b50bf.00057133	user_options->benchmark	0
TOP.5d5b50bf.00057133	user_options->benchmark_all	0
TOP.5d5b50bf.00057133	user_options->bitmap_max	18
TOP.5d5b50bf.00057133	user_options->bitmap_min	16
TOP.5d5b50bf.00057133	user_options->debug_mode	0
TOP.5d5b50bf.00057133	user_options->example_hashes	0
TOP.5d5b50bf.00057133	user_options->force	0
TOP.5d5b50bf.00057133	user_options->hwmon_disable	0
TOP.5d5b50bf.00057133	user_options->hwmon_temp_abort	90
TOP.5d5b50bf.00057133	user_options->hash_mode	13100
TOP.5d5b50bf.00057133	user_options->hex_charset	0
TOP.5d5b50bf.00057133	user_options->hex_salt	0
TOP.5d5b50bf.00057133	user_options->hex_wordlist	0
TOP.5d5b50bf.00057133	user_options->increment	0
TOP.5d5b50bf.00057133	user_options->increment_max	256
TOP.5d5b50bf.00057133	user_options->increment_min	1
TOP.5d5b50bf.00057133	user_options->keep_guessing	0
TOP.5d5b50bf.00057133	user_options->kernel_accel	0
TOP.5d5b50bf.00057133	user_options->kernel_loops	0
TOP.5d5b50bf.00057133	user_options->kernel_threads	0
TOP.5d5b50bf.00057133	user_options->keyspace	0
TOP.5d5b50bf.00057133	user_options->left	0
TOP.5d5b50bf.00057133	user_options->logfile_disable	0
TOP.5d5b50bf.00057133	user_options->loopback	0
TOP.5d5b50bf.00057133	user_options->machine_readable	0
TOP.5d5b50bf.00057133	user_options->markov_classic	0
TOP.5d5b50bf.00057133	user_options->markov_disable	0
TOP.5d5b50bf.00057133	user_options->markov_threshold	256
TOP.5d5b50bf.00057133	user_options->opencl_info	0
TOP.5d5b50bf.00057133	user_options->opencl_vector_width	0
TOP.5d5b50bf.00057133	user_options->optimized_kernel_enable	0
TOP.5d5b50bf.00057133	user_options->outfile_autohex	1
TOP.5d5b50bf.00057133	user_options->outfile_check_timer	5
TOP.5d5b50bf.00057133	user_options->outfile_format	3
TOP.5d5b50bf.00057133	user_options->wordlist_autohex_disable	0
TOP.5d5b50bf.00057133	user_options->potfile_disable	0
TOP.5d5b50bf.00057133	user_options->progress_only	0
TOP.5d5b50bf.00057133	user_options->quiet	0
TOP.5d5b50bf.00057133	user_options->remove	0
TOP.5d5b50bf.00057133	user_options->remove_timer	60
TOP.5d5b50bf.00057133	user_options->restore	0
TOP.5d5b50bf.00057133	user_options->restore_disable	0
TOP.5d5b50bf.00057133	user_options->restore_timer	60
TOP.5d5b50bf.00057133	user_options->rp_files_cnt	0
TOP.5d5b50bf.00057133	user_options->rp_gen	0
TOP.5d5b50bf.00057133	user_options->rp_gen_func_max	4
TOP.5d5b50bf.00057133	user_options->rp_gen_func_min	1
TOP.5d5b50bf.00057133	user_options->rp_gen_seed	0
TOP.5d5b50bf.00057133	user_options->runtime	0
TOP.5d5b50bf.00057133	user_options->scrypt_tmto	0
TOP.5d5b50bf.00057133	user_options->segment_size	33554432
TOP.5d5b50bf.00057133	user_options->self_test_disable	0
TOP.5d5b50bf.00057133	user_options->slow_candidates	0
TOP.5d5b50bf.00057133	user_options->show	0
TOP.5d5b50bf.00057133	user_options->speed_only	0
TOP.5d5b50bf.00057133	user_options->spin_damp	8
TOP.5d5b50bf.00057133	user_options->status	0
TOP.5d5b50bf.00057133	user_options->status_timer	10
TOP.5d5b50bf.00057133	user_options->stdout_flag	0
TOP.5d5b50bf.00057133	user_options->usage	0
TOP.5d5b50bf.00057133	user_options->username	0
TOP.5d5b50bf.00057133	user_options->veracrypt_pim	0
TOP.5d5b50bf.00057133	user_options->version	0
TOP.5d5b50bf.00057133	user_options->workload_profile	2
TOP.5d5b50bf.00057133	user_options->brain_client	0
TOP.5d5b50bf.00057133	user_options->brain_client_features	2
TOP.5d5b50bf.00057133	user_options->brain_server	0
TOP.5d5b50bf.00057133	user_options->brain_port	6863
TOP.5d5b50bf.00057133	user_options->brain_session	0
TOP.5d5b50bf.00057133	hashes->hashfile	hash.txt
TOP.5d5b50bf.00057133	hashes->hashlist_mode	4
TOP.5d5b50bf.00057133	hashes->hashlist_format	0
TOP.5d5b50bf.00057133	hashes->hashes_cnt	0
TOP.5d5b50bf.00057133	hashes->digests_cnt	1
TOP.5d5b50bf.00057133	hashes->digests_done	0
TOP.5d5b50bf.00057133	hashes->salts_cnt	1
TOP.5d5b50bf.00057133	hashes->salts_done	0
TOP.5d5b50bf.00057133	SUB.5d5b50c4.000c9813	START
TOP.5d5b50bf.00057133	SUB.5d5b50c4.000c9813	straight_ctx->dict	example.dict
TOP.5d5b50bf.00057133	SUB.5d5b50c4.000c9813	runtime_start	1566265542
TOP.5d5b50bf.00057133	SUB.5d5b50c4.000c9813	runtime_stop	1566265542
TOP.5d5b50bf.00057133	SUB.5d5b50c4.000c9813	status-after-work	5
TOP.5d5b50bf.00057133	SUB.5d5b50c4.000c9813	STOP
TOP.5d5b50bf.00057133	proc_start	1566265535
TOP.5d5b50bf.00057133	proc_stop	1566265543
TOP.5d5b50bf.00057133	STOP
TOP.5d5b513d.00057264	START
TOP.5d5b513d.00057264	user_options->separator	:
TOP.5d5b513d.00057264	user_options->encoding_from	utf-8
TOP.5d5b513d.00057264	user_options->encoding_to	utf-8
TOP.5d5b513d.00057264	user_options->rule_buf_l	:
TOP.5d5b513d.00057264	user_options->rule_buf_r	:
TOP.5d5b513d.00057264	user_options->session	hashcat
TOP.5d5b513d.00057264	user_options->limit	0
TOP.5d5b513d.00057264	user_options->skip	0
TOP.5d5b513d.00057264	user_options->attack_mode	0
TOP.5d5b513d.00057264	user_options->benchmark	0
TOP.5d5b513d.00057264	user_options->benchmark_all	0
TOP.5d5b513d.00057264	user_options->bitmap_max	18
TOP.5d5b513d.00057264	user_options->bitmap_min	16
TOP.5d5b513d.00057264	user_options->debug_mode	0
TOP.5d5b513d.00057264	user_options->example_hashes	0
TOP.5d5b513d.00057264	user_options->force	0
TOP.5d5b513d.00057264	user_options->hwmon_disable	0
TOP.5d5b513d.00057264	user_options->hwmon_temp_abort	90
TOP.5d5b513d.00057264	user_options->hash_mode	13100
TOP.5d5b513d.00057264	user_options->hex_charset	0
TOP.5d5b513d.00057264	user_options->hex_salt	0
TOP.5d5b513d.00057264	user_options->hex_wordlist	0
TOP.5d5b513d.00057264	user_options->increment	0
TOP.5d5b513d.00057264	user_options->increment_max	256
TOP.5d5b513d.00057264	user_options->increment_min	1
TOP.5d5b513d.00057264	user_options->keep_guessing	0
TOP.5d5b513d.00057264	user_options->kernel_accel	0
TOP.5d5b513d.00057264	user_options->kernel_loops	0
TOP.5d5b513d.00057264	user_options->kernel_threads	0
TOP.5d5b513d.00057264	user_options->keyspace	0
TOP.5d5b513d.00057264	user_options->left	0
TOP.5d5b513d.00057264	user_options->logfile_disable	0
TOP.5d5b513d.00057264	user_options->loopback	0
TOP.5d5b513d.00057264	user_options->machine_readable	0
TOP.5d5b513d.00057264	user_options->markov_classic	0
TOP.5d5b513d.00057264	user_options->markov_disable	0
TOP.5d5b513d.00057264	user_options->markov_threshold	256
TOP.5d5b513d.00057264	user_options->opencl_info	0
TOP.5d5b513d.00057264	user_options->opencl_vector_width	0
TOP.5d5b513d.00057264	user_options->optimized_kernel_enable	0
TOP.5d5b513d.00057264	user_options->outfile_autohex	1
TOP.5d5b513d.00057264	user_options->outfile_check_timer	5
TOP.5d5b513d.00057264	user_options->outfile_format	3
TOP.5d5b513d.00057264	user_options->wordlist_autohex_disable	0
TOP.5d5b513d.00057264	user_options->potfile_disable	0
TOP.5d5b513d.00057264	user_options->progress_only	0
TOP.5d5b513d.00057264	user_options->quiet	0
TOP.5d5b513d.00057264	user_options->remove	0
TOP.5d5b513d.00057264	user_options->remove_timer	60
TOP.5d5b513d.00057264	user_options->restore	0
TOP.5d5b513d.00057264	user_options->restore_disable	0
TOP.5d5b513d.00057264	user_options->restore_timer	60
TOP.5d5b513d.00057264	user_options->rp_files_cnt	0
TOP.5d5b513d.00057264	user_options->rp_gen	0
TOP.5d5b513d.00057264	user_options->rp_gen_func_max	4
TOP.5d5b513d.00057264	user_options->rp_gen_func_min	1
TOP.5d5b513d.00057264	user_options->rp_gen_seed	0
TOP.5d5b513d.00057264	user_options->runtime	0
TOP.5d5b513d.00057264	user_options->scrypt_tmto	0
TOP.5d5b513d.00057264	user_options->segment_size	33554432
TOP.5d5b513d.00057264	user_options->self_test_disable	0
TOP.5d5b513d.00057264	user_options->slow_candidates	0
TOP.5d5b513d.00057264	user_options->show	0
TOP.5d5b513d.00057264	user_options->speed_only	0
TOP.5d5b513d.00057264	user_options->spin_damp	8
TOP.5d5b513d.00057264	user_options->status	0
TOP.5d5b513d.00057264	user_options->status_timer	10
TOP.5d5b513d.00057264	user_options->stdout_flag	0
TOP.5d5b513d.00057264	user_options->usage	0
TOP.5d5b513d.00057264	user_options->username	0
TOP.5d5b513d.00057264	user_options->veracrypt_pim	0
TOP.5d5b513d.00057264	user_options->version	0
TOP.5d5b513d.00057264	user_options->workload_profile	2
TOP.5d5b513d.00057264	user_options->brain_client	0
TOP.5d5b513d.00057264	user_options->brain_client_features	2
TOP.5d5b513d.00057264	user_options->brain_server	0
TOP.5d5b513d.00057264	user_options->brain_port	6863
TOP.5d5b513d.00057264	user_options->brain_session	0
TOP.5d5b513d.00057264	hashes->hashfile	hash.txt
TOP.5d5b513d.00057264	hashes->hashlist_mode	4
TOP.5d5b513d.00057264	hashes->hashlist_format	0
TOP.5d5b513d.00057264	hashes->hashes_cnt	0
TOP.5d5b513d.00057264	hashes->digests_cnt	1
TOP.5d5b513d.00057264	hashes->digests_done	0
TOP.5d5b513d.00057264	hashes->salts_cnt	1
TOP.5d5b513d.00057264	hashes->salts_done	0
TOP.5d5b513d.00057264	SUB.5d5b513d.000a3865	START
TOP.5d5b513d.00057264	SUB.5d5b513d.000a3865	straight_ctx->dict	example.dict
TOP.5d5b513d.00057264	SUB.5d5b513d.000a3865	runtime_start	1566265661
TOP.5d5b513d.00057264	SUB.5d5b513d.000a3865	runtime_stop	1566265661
TOP.5d5b513d.00057264	SUB.5d5b513d.000a3865	status-after-work	5
TOP.5d5b513d.00057264	SUB.5d5b513d.000a3865	STOP
TOP.5d5b513d.00057264	proc_start	1566265661
TOP.5d5b513d.00057264	proc_stop	1566265663
TOP.5d5b513d.00057264	STOP
TOP.5d5b517c.000572a5	START
TOP.5d5b517c.000572a5	user_options->separator	:
TOP.5d5b517c.000572a5	user_options->encoding_from	utf-8
TOP.5d5b517c.000572a5	user_options->encoding_to	utf-8
TOP.5d5b517c.000572a5	user_options->rule_buf_l	:
TOP.5d5b517c.000572a5	user_options->rule_buf_r	:
TOP.5d5b517c.000572a5	user_options->session	hashcat
TOP.5d5b517c.000572a5	user_options->limit	0
TOP.5d5b517c.000572a5	user_options->skip	0
TOP.5d5b517c.000572a5	user_options->attack_mode	0
TOP.5d5b517c.000572a5	user_options->benchmark	0
TOP.5d5b517c.000572a5	user_options->benchmark_all	0
TOP.5d5b517c.000572a5	user_options->bitmap_max	18
TOP.5d5b517c.000572a5	user_options->bitmap_min	16
TOP.5d5b517c.000572a5	user_options->debug_mode	0
TOP.5d5b517c.000572a5	user_options->example_hashes	0
TOP.5d5b517c.000572a5	user_options->force	0
TOP.5d5b517c.000572a5	user_options->hwmon_disable	0
TOP.5d5b517c.000572a5	user_options->hwmon_temp_abort	90
TOP.5d5b517c.000572a5	user_options->hash_mode	13100
TOP.5d5b517c.000572a5	user_options->hex_charset	0
TOP.5d5b517c.000572a5	user_options->hex_salt	0
TOP.5d5b517c.000572a5	user_options->hex_wordlist	0
TOP.5d5b517c.000572a5	user_options->increment	0
TOP.5d5b517c.000572a5	user_options->increment_max	256
TOP.5d5b517c.000572a5	user_options->increment_min	1
TOP.5d5b517c.000572a5	user_options->keep_guessing	0
TOP.5d5b517c.000572a5	user_options->kernel_accel	0
TOP.5d5b517c.000572a5	user_options->kernel_loops	0
TOP.5d5b517c.000572a5	user_options->kernel_threads	0
TOP.5d5b517c.000572a5	user_options->keyspace	0
TOP.5d5b517c.000572a5	user_options->left	0
TOP.5d5b517c.000572a5	user_options->logfile_disable	0
TOP.5d5b517c.000572a5	user_options->loopback	0
TOP.5d5b517c.000572a5	user_options->machine_readable	0
TOP.5d5b517c.000572a5	user_options->markov_classic	0
TOP.5d5b517c.000572a5	user_options->markov_disable	0
TOP.5d5b517c.000572a5	user_options->markov_threshold	256
TOP.5d5b517c.000572a5	user_options->opencl_info	0
TOP.5d5b517c.000572a5	user_options->opencl_vector_width	0
TOP.5d5b517c.000572a5	user_options->optimized_kernel_enable	0
TOP.5d5b517c.000572a5	user_options->outfile_autohex	1
TOP.5d5b517c.000572a5	user_options->outfile_check_timer	5
TOP.5d5b517c.000572a5	user_options->outfile_format	3
TOP.5d5b517c.000572a5	user_options->wordlist_autohex_disable	0
TOP.5d5b517c.000572a5	user_options->potfile_disable	0
TOP.5d5b517c.000572a5	user_options->progress_only	0
TOP.5d5b517c.000572a5	user_options->quiet	0
TOP.5d5b517c.000572a5	user_options->remove	0
TOP.5d5b517c.000572a5	user_options->remove_timer	60
TOP.5d5b517c.000572a5	user_options->restore	0
TOP.5d5b517c.000572a5	user_options->restore_disable	0
TOP.5d5b517c.000572a5	user_options->restore_timer	60
TOP.5d5b517c.000572a5	user_options->rp_files_cnt	0
TOP.5d5b517c.000572a5	user_options->rp_gen	0
TOP.5d5b517c.000572a5	user_options->rp_gen_func_max	4
TOP.5d5b517c.000572a5	user_options->rp_gen_func_min	1
TOP.5d5b517c.000572a5	user_options->rp_gen_seed	0
TOP.5d5b517c.000572a5	user_options->runtime	0
TOP.5d5b517c.000572a5	user_options->scrypt_tmto	0
TOP.5d5b517c.000572a5	user_options->segment_size	33554432
TOP.5d5b517c.000572a5	user_options->self_test_disable	0
TOP.5d5b517c.000572a5	user_options->slow_candidates	0
TOP.5d5b517c.000572a5	user_options->show	0
TOP.5d5b517c.000572a5	user_options->speed_only	0
TOP.5d5b517c.000572a5	user_options->spin_damp	8
TOP.5d5b517c.000572a5	user_options->status	0
TOP.5d5b517c.000572a5	user_options->status_timer	10
TOP.5d5b517c.000572a5	user_options->stdout_flag	0
TOP.5d5b517c.000572a5	user_options->usage	0
TOP.5d5b517c.000572a5	user_options->username	0
TOP.5d5b517c.000572a5	user_options->veracrypt_pim	0
TOP.5d5b517c.000572a5	user_options->version	0
TOP.5d5b517c.000572a5	user_options->workload_profile	2
TOP.5d5b517c.000572a5	user_options->brain_client	0
TOP.5d5b517c.000572a5	user_options->brain_client_features	2
TOP.5d5b517c.000572a5	user_options->brain_server	0
TOP.5d5b517c.000572a5	user_options->brain_port	6863
TOP.5d5b517c.000572a5	user_options->brain_session	0
TOP.5d5b517c.000572a5	hashes->hashfile	hash.txt
TOP.5d5b517c.000572a5	hashes->hashlist_mode	4
TOP.5d5b517c.000572a5	hashes->hashlist_format	0
TOP.5d5b517c.000572a5	hashes->hashes_cnt	0
TOP.5d5b517c.000572a5	hashes->digests_cnt	1
TOP.5d5b517c.000572a5	hashes->digests_done	0
TOP.5d5b517c.000572a5	hashes->salts_cnt	1
TOP.5d5b517c.000572a5	hashes->salts_done	0
TOP.5d5b517c.000572a5	SUB.5d5b517c.000c2343	START
TOP.5d5b517c.000572a5	SUB.5d5b517c.000c2343	straight_ctx->dict	E:\JCHackedTools\Dicts\MiniPwds.txt
TOP.5d5b517c.000572a5	SUB.5d5b517c.000c2343	runtime_start	1566265724
TOP.5d5b517c.000572a5	SUB.5d5b517c.000c2343	runtime_stop	1566265725
TOP.5d5b517c.000572a5	SUB.5d5b517c.000c2343	status-after-work	5
TOP.5d5b517c.000572a5	SUB.5d5b517c.000c2343	STOP
TOP.5d5b517c.000572a5	proc_start	1566265724
TOP.5d5b517c.000572a5	proc_stop	1566265725
TOP.5d5b517c.000572a5	STOP
TOP.5d5b5186.000310a4	START
TOP.5d5b5186.000310a4	user_options->separator	:
TOP.5d5b5186.000310a4	user_options->encoding_from	utf-8
TOP.5d5b5186.000310a4	user_options->encoding_to	utf-8
TOP.5d5b5186.000310a4	user_options->rule_buf_l	:
TOP.5d5b5186.000310a4	user_options->rule_buf_r	:
TOP.5d5b5186.000310a4	user_options->session	hashcat
TOP.5d5b5186.000310a4	user_options->limit	0
TOP.5d5b5186.000310a4	user_options->skip	0
TOP.5d5b5186.000310a4	user_options->attack_mode	0
TOP.5d5b5186.000310a4	user_options->benchmark	0
TOP.5d5b5186.000310a4	user_options->benchmark_all	0
TOP.5d5b5186.000310a4	user_options->bitmap_max	18
TOP.5d5b5186.000310a4	user_options->bitmap_min	16
TOP.5d5b5186.000310a4	user_options->debug_mode	0
TOP.5d5b5186.000310a4	user_options->example_hashes	0
TOP.5d5b5186.000310a4	user_options->force	0
TOP.5d5b5186.000310a4	user_options->hwmon_disable	0
TOP.5d5b5186.000310a4	user_options->hwmon_temp_abort	90
TOP.5d5b5186.000310a4	user_options->hash_mode	13100
TOP.5d5b5186.000310a4	user_options->hex_charset	0
TOP.5d5b5186.000310a4	user_options->hex_salt	0
TOP.5d5b5186.000310a4	user_options->hex_wordlist	0
TOP.5d5b5186.000310a4	user_options->increment	0
TOP.5d5b5186.000310a4	user_options->increment_max	256
TOP.5d5b5186.000310a4	user_options->increment_min	1
TOP.5d5b5186.000310a4	user_options->keep_guessing	0
TOP.5d5b5186.000310a4	user_options->kernel_accel	0
TOP.5d5b5186.000310a4	user_options->kernel_loops	0
TOP.5d5b5186.000310a4	user_options->kernel_threads	0
TOP.5d5b5186.000310a4	user_options->keyspace	0
TOP.5d5b5186.000310a4	user_options->left	0
TOP.5d5b5186.000310a4	user_options->logfile_disable	0
TOP.5d5b5186.000310a4	user_options->loopback	0
TOP.5d5b5186.000310a4	user_options->machine_readable	0
TOP.5d5b5186.000310a4	user_options->markov_classic	0
TOP.5d5b5186.000310a4	user_options->markov_disable	0
TOP.5d5b5186.000310a4	user_options->markov_threshold	256
TOP.5d5b5186.000310a4	user_options->opencl_info	0
TOP.5d5b5186.000310a4	user_options->opencl_vector_width	0
TOP.5d5b5186.000310a4	user_options->optimized_kernel_enable	0
TOP.5d5b5186.000310a4	user_options->outfile_autohex	1
TOP.5d5b5186.000310a4	user_options->outfile_check_timer	5
TOP.5d5b5186.000310a4	user_options->outfile_format	3
TOP.5d5b5186.000310a4	user_options->wordlist_autohex_disable	0
TOP.5d5b5186.000310a4	user_options->potfile_disable	0
TOP.5d5b5186.000310a4	user_options->progress_only	0
TOP.5d5b5186.000310a4	user_options->quiet	0
TOP.5d5b5186.000310a4	user_options->remove	0
TOP.5d5b5186.000310a4	user_options->remove_timer	60
TOP.5d5b5186.000310a4	user_options->restore	0
TOP.5d5b5186.000310a4	user_options->restore_disable	0
TOP.5d5b5186.000310a4	user_options->restore_timer	60
TOP.5d5b5186.000310a4	user_options->rp_files_cnt	0
TOP.5d5b5186.000310a4	user_options->rp_gen	0
TOP.5d5b5186.000310a4	user_options->rp_gen_func_max	4
TOP.5d5b5186.000310a4	user_options->rp_gen_func_min	1
TOP.5d5b5186.000310a4	user_options->rp_gen_seed	0
TOP.5d5b5186.000310a4	user_options->runtime	0
TOP.5d5b5186.000310a4	user_options->scrypt_tmto	0
TOP.5d5b5186.000310a4	user_options->segment_size	33554432
TOP.5d5b5186.000310a4	user_options->self_test_disable	0
TOP.5d5b5186.000310a4	user_options->slow_candidates	0
TOP.5d5b5186.000310a4	user_options->show	0
TOP.5d5b5186.000310a4	user_options->speed_only	0
TOP.5d5b5186.000310a4	user_options->spin_damp	8
TOP.5d5b5186.000310a4	user_options->status	0
TOP.5d5b5186.000310a4	user_options->status_timer	10
TOP.5d5b5186.000310a4	user_options->stdout_flag	0
TOP.5d5b5186.000310a4	user_options->usage	0
TOP.5d5b5186.000310a4	user_options->username	0
TOP.5d5b5186.000310a4	user_options->veracrypt_pim	0
TOP.5d5b5186.000310a4	user_options->version	0
TOP.5d5b5186.000310a4	user_options->workload_profile	2
TOP.5d5b5186.000310a4	user_options->brain_client	0
TOP.5d5b5186.000310a4	user_options->brain_client_features	2
TOP.5d5b5186.000310a4	user_options->brain_server	0
TOP.5d5b5186.000310a4	user_options->brain_port	6863
TOP.5d5b5186.000310a4	user_options->brain_session	0
TOP.5d5b5186.000310a4	hashes->hashfile	hash.txt
TOP.5d5b5186.000310a4	hashes->hashlist_mode	4
TOP.5d5b5186.000310a4	hashes->hashlist_format	0
TOP.5d5b5186.000310a4	hashes->hashes_cnt	0
TOP.5d5b5186.000310a4	hashes->digests_cnt	1
TOP.5d5b5186.000310a4	hashes->digests_done	0
TOP.5d5b5186.000310a4	hashes->salts_cnt	1
TOP.5d5b5186.000310a4	hashes->salts_done	0
TOP.5d5b5186.000310a4	SUB.5d5b5186.0009fa47	START
TOP.5d5b5186.000310a4	SUB.5d5b5186.0009fa47	straight_ctx->dict	E:\JCHackedTools\Dicts\NormalPwds.txt
TOP.5d5b5186.000310a4	SUB.5d5b5186.0009fa47	runtime_start	1566265734
TOP.5d5b5186.000310a4	SUB.5d5b5186.0009fa47	runtime_stop	1566265734
TOP.5d5b5186.000310a4	SUB.5d5b5186.0009fa47	status-after-work	5
TOP.5d5b5186.000310a4	SUB.5d5b5186.0009fa47	STOP
TOP.5d5b5186.000310a4	proc_start	1566265734
TOP.5d5b5186.000310a4	proc_stop	1566265735
TOP.5d5b5186.000310a4	STOP
TOP.5d5b5196.0000368d	START
TOP.5d5b5196.0000368d	user_options->separator	:
TOP.5d5b5196.0000368d	user_options->encoding_from	utf-8
TOP.5d5b5196.0000368d	user_options->encoding_to	utf-8
TOP.5d5b5196.0000368d	user_options->rule_buf_l	:
TOP.5d5b5196.0000368d	user_options->rule_buf_r	:
TOP.5d5b5196.0000368d	user_options->session	hashcat
TOP.5d5b5196.0000368d	user_options->limit	0
TOP.5d5b5196.0000368d	user_options->skip	0
TOP.5d5b5196.0000368d	user_options->attack_mode	0
TOP.5d5b5196.0000368d	user_options->benchmark	0
TOP.5d5b5196.0000368d	user_options->benchmark_all	0
TOP.5d5b5196.0000368d	user_options->bitmap_max	18
TOP.5d5b5196.0000368d	user_options->bitmap_min	16
